Symptom_CUI	Symptom_Name	Alias	Definition	External_Ids
C2128879	Bone pain of left thumb	bone pain of left thumb|bone pain of left thumb (symptom)|bone pain, left thumb		
C2202995	Left arm weakness	Monoparesis of left arm|Weakness of left arm|Weakness of left arm (disorder)|left arm weakness|weakness in left arm|weakness in left arm (symptom)|weakness of left arm|weakness of left arm (physical finding)		SNOMEDCT_US_2016_09_01:15633401000119107
C2036544	Stuttering interfering with social interaction	stuttering interfering with social interaction|stuttering interfering with social interaction (symptom)		
C0751077	Diplopia, horizontal	Diplopia, Horizontal|Diplopias, Horizontal|Horizontal Diplopia|Horizontal Diplopias|double vision when moving eyes horizontally|horizontal diplopia|horizontal diplopia (symptom)|seeing double images horizontally		MSH2017_2016_08_12:D004172
C0744156	Foot pain subjective plantar aspect	FOOT PAIN SUBJECTIVE PLANTAR ASPECT		
C2108903	Wrist joint pain triggered by innocuous stimulus	wrist joint pain triggered by innocuous stimulus|wrist pain triggered by innocuous stimulus|wrist pain triggered by innocuous stimulus (symptom)		
C2030473	Hemiplegia not affecting right side of face	hemiplegia not affecting right side of face|hemiplegia not affecting right side of face (symptom)|hemiplegia not affecting the face right side|right-sided hemiparalysis not affecting the face|right-sided hemiplegia not affecting the face		
C2199006	Drags one foot when walking	drags one foot when walking|drags one foot when walking (symptom)|drags one foot when walking as symptom		
C1698573	Aspiration site pain	Aspiration site pain		
C2017027	Soft tissue pain of middle finger of right hand	soft tissue pain of middle finger of right hand|soft tissue pain of middle finger of right hand (symptom)		
C2233387	Skin rash of right upper outer breast	skin rash of right upper outer breast|skin rash of right upper outer breast (symptom)		
C2232203	Skin crust of anterior aspect of both thighs	skin crust of anterior aspect of both thighs|skin crust of anterior aspect of both thighs (symptom)		
C3863915	Complications amputation stump pain of lower extremity	complications amputation stump pain of lower extremity|complications amputation stump pain of lower extremity (diagnosis)		
C3862404	Severe muscle pain	severe muscle pain|severe muscle pain (symptom)		
C2047433	Hyperemesis gravidarum in second half of pregnancy as antepartum condition	hyperemesis gravidarum in second half of pregnancy as antepartum condition|hyperemesis gravidarum in second half of pregnancy as antepartum condition (diagnosis)|hyperemesis gravidarum in second half of pregnancy delivered antepartum condition or prior complication		
C2126951	Foggy vision clears with blinking or rubbing of eyes	foggy vision clears with blinking or rubbing of eyes|foggy vision clears with blinking or rubbing of eyes (symptom)|foggy vision goes away with blinking or rubbing eyes		
C2080644	Periodic flashing lights peripherally	periodic flashing lights peripherally|peripheral photopsia|photopsia in peripheral field of vision|photopsia in peripheral field of vision (symptom)		
C0858599	Sour taste	Sour taste|Taste sour|sour taste|taste sour		
C2130155	Dorsal right hand pain over second metacarpal	dorsal right hand pain over second metacarpal|dorsal right hand pain over second metacarpal (symptom)|dorsal right hand pain over the second metacarpal		
C0018989	Paresis of one side of body	HEMIPARESIS|Hemipareses|Hemiparesis|Hemiparesis (disorder)|Hemiparesis (weakness on one side)|Unilateral paresis|Unilateral paresis (finding)|Unilateral paresis (situation)|Weakness of one side of body|body one side weakness|hemipareses|hemiparesis|hemiparesis (physical finding)|hemiparesis was seen|paresis of one side of body|paresis unilateral	HPO2016_07_04:Loss of strength in the arm, leg, and sometimes face on one side of the body. Hemiplegia refers to a complete loss of strength, whereas hemiparesis refers to an incomplete loss of strength. [HPO:probinson, UKB:tklockgether]|NCI2016_02D:Weakness or incomplete paralysis of either the left or right side of the body.|NCI2016_NICHD_1602D:Weakness or incomplete paralysis of either the left or right side of the body.|	HPO2016_07_04:HP:0001269|MSH2017_2016_08_12:D010291|OMIM2016_04_17:MTHU000543|SNOMEDCT_US_2016_09_01:127377003|SNOMEDCT_US_2016_09_01:155029008|SNOMEDCT_US_2016_09_01:192941004|SNOMEDCT_US_2016_09_01:20022000|SO:SYMP_0000293
C2129451	Midback pain in midline unchanged with movement	midback pain in midline unchanged with movement|midback pain in midline unchanged with movement (symptom)|midline midback pain unchanged with movement		
C2128900	Increase in size of finger joint	increase in size of finger joint|increase in size of finger joint (symptom)		
C2017237	Left leg soft tissue swelling with black and blue discoloration	left leg soft tissue swelling with black and blue discoloration|soft tissue swelling L (lower) leg w/ black & blue discolor|soft tissue swelling of left lower leg with black and blue discoloration|soft tissue swelling of left lower leg with black and blue discoloration (symptom)		
C1735639	Metastatic pain worsened	Metastatic pain worsened		
C2233557	Epistaxis after blood-thinning medication	epistaxis after blood-thinning medication|nosebleeds after blood-thinning medication|nosebleeds after blood-thinning medication (symptom)		
C2032593	Shooting pain on bottom of right foot	shooting pain on bottom of right foot|shooting pain on bottom of right foot (symptom)|shooting plantar right foot pain		
C2364111	Gustatory anesthesia	AGEUSIA|Absence of sense of taste|Ageusia|Ageusia [Disease/Finding]|Ageustia|Gustatory anaesthesia|Gustatory anesthesia|Loss (of);taste|Loss of taste|Loss of taste (& symptom)|Loss of taste (& symptom) (finding)|Loss of taste (finding)|Loss of taste sense|TASTE ABSENT|TASTE LOSS|Taste absent|Taste loss|Taste loss symptom|Unable (to);taste|ageusia|gustatory anesthesia|loss of sense taste|loss of taste|loss taste|loss; taste|taste loss|taste; loss|unable to taste	MSH2017_2016_08_12:Complete or severe loss of the subjective sense of taste, frequently accompanied by OLFACTION DISORDERS.|NCI2016_02D:Inability to taste.|NCI2016_NICHD_1602D:Inability to taste.|	MSH2017_2016_08_12:D000370|OMIM2016_04_17:MTHU001814|SNOMEDCT_US_2016_09_01:139277004|SNOMEDCT_US_2016_09_01:162012003|SNOMEDCT_US_2016_09_01:267164004|SNOMEDCT_US_2016_09_01:36955009
C0549373	Laryngeal pain	LARYNGEAL PAIN|LARYNX PAIN|Laryngeal pain|Larynx pain|larynx pain		
C2116453	Tingling of thumb and index finger of right hand	tingling of thumb and index finger of right hand|tingling of thumb and index finger of right hand (symptom)		
C2077896	Inability to express anger	inability to express anger|unable to express anger|unable to express anger (symptom)		
C2017081	Plantar right forefoot pain increases with activity	plantar right forefoot pain increases with activity|right forefoot pain on bottom increases with activity|soft tissue pain on bottom of right forefoot worse with activity|soft tissue pain on bottom of right forefoot worse with activity (symptom)		
C4273018	Convulsions triggering uncontrollable laughter	convulsions triggering uncontrollable laughter|convulsions triggering uncontrollable laughter (symptom)		
C3665798	Genitals enlarged	Genitals enlarged		
C2037180	Sudden onset of cold index finger of right hand	sudden onset of cold index finger of right hand|sudden onset of cold index finger of right hand (symptom)		
C2109041	Ankle joint stiffness upon arising	ankle joint stiffness upon arising|ankle stiffness upon arising|ankle stiffness upon arising (symptom)		
C2129276	Bilateral muscle spasms in the midback	bilateral muscle spasms in the midback|muscle spasm in midback on both sides|muscle spasm in midback on both sides (symptom)		
C2127639	Right hip joint feels like it may slip out of place	right hip joint feels like it may slip out of place|right hip joint feels like it may slip out of place (symptom)		
C2017025	Soft tissue pain of middle phalanx of little finger of right hand	soft tissue pain of middle phalanx of little finger of right hand|soft tissue pain of middle phalanx of little finger of right hand (symptom)		
